elongation factor tu,scenedesmus bijugus,1
"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",scenedesmus bijugus,3
"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",scenedesmus ellipticus,1
elongation factor tu,scenedesmus ellipticus,1
"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",scenedesmus armatus,1
elongation factor tu,scenedesmus ecornis,2
"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",scenedesmus ecornis,1
"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",scenedesmus hindakii,1
elongation factor tu,scenedesmus hindakii,1
"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",scenedesmus obtusus,2
elongation factor tu,scenedesmus obtusus,2
fasciclin domain protein,scenedesmus acutus,1
chloroplast sulfate-binding protein,scenedesmus acutus,1
chloroplast sulfate permease sulp2,scenedesmus acutus,1
putative sodium sulfate co-transporter,scenedesmus acutus,2
putative cobalamin-dependent methionine synthase 2,scenedesmus acutus,1
putative cobalamin-dependent methionine synthase 1,scenedesmus acutus,1
threonine synthase,scenedesmus acutus,1
putative sulfite reductase,scenedesmus acutus,1
ferredoxin-sulfite reductase,scenedesmus acutus,1
putative serine acetyl transferase 2,scenedesmus acutus,1
serine acetyl transferase 1,scenedesmus acutus,1
cysteine synthase 4,scenedesmus acutus,1
cysteine synthase 2,scenedesmus acutus,1
putative cobalamin-independent methionine synthase,scenedesmus acutus,1
putative cystathionine beta-lyase,scenedesmus acutus,1
putative glutathione synthetase,scenedesmus acutus,1
gamma-glutamylcysteine synthetase,scenedesmus acutus,1
putative cystathionine gamma-synthase,scenedesmus acutus,1
adenosine 5'-phosphosulfate kinase,scenedesmus acutus,1
guanine nucleotide-binding protein subunit beta-like protein,scenedesmus acutus,1
putative periplasmic arylsulfatase,scenedesmus acutus,1
putative h+/sulfate transporter,scenedesmus acutus,2
strain cysteine synthase 3,scenedesmus acutus,1
snf1-like kinase,scenedesmus acutus,1
adenylylphosphosulfate reductase,scenedesmus acutus,1
chloroplast sulfate transporter,scenedesmus acutus,1
cysteine synthase 1,scenedesmus acutus,1
chloroplast sulp1,scenedesmus acutus,1
atp sulfurylase 2,scenedesmus acutus,1
atp sulfurylase 1,scenedesmus acutus,1
putative phytochelatin synthase,scenedesmus acutus,1
chloroplast phytoene synthase,scenedesmus acutus,1
mnsod,scenedesmus acutus,1
fe superoxide dismutase,scenedesmus acutus,1
"ribulose-1,5-bisphosphate carboxylase/oxygenase small subunit",scenedesmus acutus,1
na+/solute transporter,scenedesmus acutus,1
cvacastap2,scenedesmus vacuolatus,1
cvacastap1,scenedesmus vacuolatus,1
"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",scenedesmus vacuolatus,2
elongation factor tu,scenedesmus vacuolatus,1
nadp-dependent non-phosphorylating glyceraldehyde-3-phosphate dehydrogenase,scenedesmus vacuolatus,1
nad-dependent glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),scenedesmus vacuolatus,1
nadp-dependent glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),scenedesmus vacuolatus,1
putative proton-translocating inorganic pyrophosphatase,scenedesmus vacuolatus,1
"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",scenedesmus producto-capitatus,1
elongation factor tu,scenedesmus producto-capitatus,1
laglidadg endonuclease,scenedesmus quadricauda,1
selenoprotein t,scenedesmus quadricauda,1
elongation factor tu,scenedesmus quadricauda,1
"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",scenedesmus quadricauda,6
cytochrome b oxidase subunit i,scenedesmus quadricauda,1
p700 chlorophyll a-apoprotein a2,scenedesmus quadricauda,1
large subunit of rubisco,scenedesmus quadricauda,1
atp synthase beta-subunit,scenedesmus quadricauda,1
fe-hydrogenase,[chlorella] fusca,2
"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",tetracystis vinatzeri,1
"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",tetracystis pampae,1
elongation factor tu,tetracystis aeria,1
"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",tetracystis aeria,1
"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",pediastrum cf. subgranulatum ms-2018,1
psii 43 kda protein,pediastrum angulosum,3
ribosomal protein l20,pediastrum angulosum,3
ribosomal protein s2,pediastrum angulosum,3
translational initiation factor 1,pediastrum angulosum,3
cp47 chlorophyll apoprotein of photosystem ii,pediastrum angulosum,3
hypothetical protein,pediastrum angulosum,87
t protein of photosystem ii,pediastrum angulosum,3
n protein of photosystem ii,pediastrum angulosum,3
10 kda phosphoprotein of photosystem ii,pediastrum angulosum,3
k protein of photosystem ii,pediastrum angulosum,3
d1 reaction center protein of photosystem ii,pediastrum angulosum,3
putative site-specific dna endonuclease,pediastrum angulosum,6
cell division protein,pediastrum angulosum,3
rna polymerase beta subunit,pediastrum angulosum,9
ribosomal protein s3,pediastrum angulosum,3
photochlorophyllide reductase subunit n,pediastrum angulosum,3
photosystem ii protein vi,pediastrum angulosum,3
photosystem ii protein l,pediastrum angulosum,3
cytochrome b6/f complex subunit v,pediastrum angulosum,3
ribosomal protein s12,pediastrum angulosum,3
photosystem i subunit ix,pediastrum angulosum,3
atp synthase cf0 a subunit,pediastrum angulosum,3
photosystem ii protein j,pediastrum angulosum,3
photosystem ii protein d2,pediastrum angulosum,3
photosystem i p700 chlorophyll a apoprotein a1,pediastrum angulosum,3
subunit vi of cytochrome b6/f complex,pediastrum angulosum,3
subunit vii of photosystem i,pediastrum angulosum,3
protochlorophyllide reductase subunit b,pediastrum angulosum,3
hypothetical chloroplast protein rf12,pediastrum angulosum,3
atp synthase cf1 epsilon subunit,pediastrum angulosum,3
ribosomal protein s7,pediastrum angulosum,3
ribosomal protein s11,pediastrum angulosum,3
"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",pediastrum angulosum,13
atp synthase cf0 b subunit,pediastrum angulosum,3
atp synthase cf0 c subunit,pediastrum angulosum,6
small subunit ribosomal rna,pediastrum angulosum,6
large subunit ribosomal rna,pediastrum angulosum,6
5s ribosomal rna,pediastrum angulosum,6
ribosomal protein l23,pediastrum angulosum,3
ribosomal protein l2,pediastrum angulosum,3
ribosomal protein s19,pediastrum angulosum,3
ribosomal protein s14,pediastrum angulosum,3
cf1 alpha subunit of atp synthase,pediastrum angulosum,3
i polypeptide of photosystem ii,pediastrum angulosum,3
chloroplast envelope membrane protein,pediastrum angulosum,3
ribosomal protein l12,pediastrum angulosum,3
p700 apoprotein a2 of photosystem i,pediastrum angulosum,3
heme attachment to plastid cytochrome c,pediastrum angulosum,3
z protein of photosystem ii,pediastrum angulosum,3
m protein of photosystem ii,pediastrum angulosum,3
cf1 beta subunit of atp synthase,pediastrum angulosum,3
translational elongation factor tu,pediastrum angulosum,3
beta subunit of rna polymerase,pediastrum angulosum,3
apocytochrome b6 of cytochrome b6/f complex,pediastrum angulosum,3
ribosomal protein s18,pediastrum angulosum,3
proteolytic subunit 2 of clp protease,pediastrum angulosum,3
ribosomal protein s4,pediastrum angulosum,3
alpha subunit of rna polymerase,pediastrum angulosum,3
subunit iv of cytochrome b6/f complex,pediastrum angulosum,3
apocytochrome f of cytochrome b6/f complex,pediastrum angulosum,3
ribosomal protein l36,pediastrum angulosum,3
atp-binding subunit of protochlorophyllide reductase,pediastrum angulosum,3
hypothetical chloroplast protein rf3,pediastrum angulosum,3
hypothetical chloroplast protein rf4,pediastrum angulosum,3
