Stock No.,Institution name,Genus,Species,Division,Class,Synonym,Place name,Habitats,Details of habitat,Details on the freshwater environment,Details on the marine environment,State of algal and cyanobacterial strain,Preservation state,Cryopreservation,Environmental characteristics,Physiological and ecological characteristics,"Other characteristics
"
NIES-1,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hemieutreptia antiqua Hada 1974; Chattonella antiqua (Hada) Ono 1980,"Harima-Nada, Seto Inland Sea",,Eutrophic,,Coastal,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-2,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hemieutreptia antiqua Hada 1974; Chattonella antiqua (Hada) Ono 1980,"Osaka Bay,",,,,Inner bay,Unialgal; Clonal; Non-axenic[2013 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-3,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hornellia marina Subrahmanyan 1954,"Osaka Bay,",,,,Inner bay,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-5,National Institute for Environmental Studies,Heterosigma,akashiwo,Heterokontophyta,Raphidophyceae,Entomosigma akashiwo Y.Hada; Chattonella akashiwo (Y.Hada) Loeblich III 1979; Olisthodiscus carterae Hulburt 1965; Heterosigma inlandica Hada 1968; Chattonella inlandica (Y.Hada) Loeblich III & Fine 1977; Heterosigma carterae (Hulbert) F.J.R.Taylor 1992,"Gokasho Bay,",,,,Inner bay,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-6,National Institute for Environmental Studies,Heterosigma,akashiwo,Heterokontophyta,Raphidophyceae,Entomosigma akashiwo Y.Hada; Chattonella akashiwo (Y.Hada) Loeblich III 1979; Olisthodiscus carterae Hulburt 1965; Heterosigma inlandica Hada 1968; Chattonella inlandica (Y.Hada) Loeblich III & Fine 1977; Heterosigma carterae (Hulbert) F.J.R.Taylor 1992,"Osaka Bay,",,,,Inner bay,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-7,National Institute for Environmental Studies,Heterocapsa,triquetra,Dinophyta,Dinophyceae,Glenodinium triquetrum Ehrenberg; Peridinium triquetra (Ehrenbourg) Lebour 1925; Properidinium heterocapsa (Stein) Meunier 1919; Peridinium triquetrum Schiller 1937,"Osaka Bay,",,,,Inner bay,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-8,National Institute for Environmental Studies,Chrysotila,roscoffensis,Haptophyta,Prymnesiophyceae,Syracosphaera roscoffensis P.J.L.Dangeard; Aulacochlamys roscoffensis (P.A.Dangeard) Margalef; Pontosphaera roscoffensis (P.A.Dangeard) Deflandre; Syracolithus roscoffensis (P.A.Dangeard) Magne; Cricosphaera roscoffensis (Dangeard) Gayral & Fresnel; Pleurochrysis roscoffensis (Dangeard) Fresnel & Billard,"Osaka Bay,",,,,Inner bay,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-9,National Institute for Environmental Studies,Heterosigma,akashiwo,Heterokontophyta,Raphidophyceae,Entomosigma akashiwo Y.Hada; Chattonella akashiwo (Y.Hada) Loeblich III 1979; Olisthodiscus carterae Hulburt 1965; Heterosigma inlandica Hada 1968; Chattonella inlandica (Y.Hada) Loeblich III & Fine 1977; Heterosigma carterae (Hulbert) F.J.R.Taylor 1992,"Harima-Nada, Seto Inland Sea",,Eutrophic,,Coastal,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-10,National Institute for Environmental Studies,Heterosigma,akashiwo,Heterokontophyta,Raphidophyceae,Entomosigma akashiwo Y.Hada; Chattonella akashiwo (Y.Hada) Loeblich III 1979; Olisthodiscus carterae Hulburt 1965; Heterosigma inlandica Hada 1968; Chattonella inlandica (Y.Hada) Loeblich III & Fine 1977; Heterosigma carterae (Hulbert) F.J.R.Taylor 1992,"Harima-Nada, Seto Inland Sea",,Eutrophic,,Coastal,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-12,National Institute for Environmental Studies,Prorocentrum,micans,Dinophyta,Dinophyceae,Prorocentrum schilleri B?hrn 1931; Prorocentrum levantinoides Bursa 1959; Prorocentrum pacificum E.J.F.Wood 1963,"Osaka Bay,",,,,Inner bay,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
