;ACOI 432;N16UC2;Scenedesmus aculeolatus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 433;N16UC3;Scenedesmus aculeolatus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 548;N16UC12;Scenedesmus asymmetricus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 754;N16UC13;Scenedesmus asymmetricus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 565;N16UC14;Scenedesmus brasiliensis;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 415;N16UC4;Scenedesmus acuminatus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 968;N16UC6;Scenedesmus arcuatus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 442;N16UC7;Scenedesmus armatus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 562;N16UC8;Scenedesmus armatus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 563;N16UC9;Scenedesmus armatus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 557;N16UC16;Scenedesmus communis;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 120;N16UC18;Scenedesmus corallinus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 543;N16UC19;Scenedesmus corallinus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 2139;N16UC87;Gloeocapsa sp.;UC;F;Portugal;S2T2, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 246;N16UC110;Tetraëdron caudatum;UC;F;Portugal;S2T2, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 119;N16UC118;Phormidium autumnale;UC;F;Portugal;S2T2, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 2281;N16UC129;Pseudanabaena sp.;UC;F;Portugal;S2T2, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 527;N16UC20;Scenedesmus denticulatus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 1080;N16UC21;Scenedesmus denticulatus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 1428;N16UC22;Scenedesmus denticulatus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 2767;N16UC23;Scenedesmus ellipsoideus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 2617;N16UC109;Tetracystis sp.;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 2057;N16UC11;Scenedesmus armatus var. brevicaudatus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 1261;N16UC15;Scenedesmus brasiliensis;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 916;N16UC24;Scenedesmus grahneisii;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 318;N16UC25;Scenedesmus maximus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 1463;N16UC38;Pediastrum integrum;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 20;N16UC60;Anabaena variabilis;UC;F;Portugal;S2T2, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 225;N16UC26;Monoraphidium contortum;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 401;N16UC27;Monoraphidium contortum;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 189;N16UC28;Monoraphidium griffithii;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 805;N16UC29;Monoraphidium griffithii;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 171;N16UC30;Pediastrum angulosum;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 1354;N16UC31;Pediastrum angulosum;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 75;N16UC32;Pediastrum boryanum var. boryanum;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 2115;N16UC33;Pediastrum boryanum var. boryanum;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 392;N16UC34;Pediastrum duplex var. gracillimun;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 152;N16UC35;Pediastrum duplex var. rugulosum;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 1457;N16UC36;Pediastrum duplex var. rugulosum;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 1327;N16UC37;Pediastrum integrum;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 84;N16UC40;Pediastrum tetras;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 118;N16UC42;Enallax acutiformis;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 503;N16UC43;Enallax acutiformis;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 213;N16UC47;Kirchneriella obesa;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 2604;N16UC54;Oocystis lacustris;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 2118;N16UC55;Oocystis parva;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 1;N16UC65;Scenedesmus naegelli;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 232;N16UC66;Scenedesmus naegelii;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 550;N16UC68;Scenedesmus obliquus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 560;N16UC73;Scenedesmus pannonicus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 719;N16UC74;Scenedesmus pannonicus;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 545;N16UC75;Scenedesmus quadrispina;UC;F;Portugal;M7, 30-60 µmol/m2/s, 23ºC, 16h:8h
;ACOI 2139;N16UC87;Gloeocapsa sp.;UC;F;Portugal;S2T2, 30-60 µmol/m2/s, 23ºC, 16h:8h
